cod_municipio,uf,nome_maiusculo,nome_sem_acento_maiusculo,nome,nome_sem_acento
4120853,PR,QUATRO PONTES,QUATRO PONTES,Quatro Pontes,Quatro Pontes
4120903,PR,QUEDAS DO IGUAÇU,QUEDAS DO IGUACU,Quedas do Iguaçu,Quedas do Iguacu
4121000,PR,QUERÊNCIA DO NORTE,QUERENCIA DO NORTE,Querência do Norte,Querencia do Norte
4121109,PR,QUINTA DO SOL,QUINTA DO SOL,Quinta do Sol,Quinta do Sol
4121208,PR,QUITANDINHA,QUITANDINHA,Quitandinha,Quitandinha
4121257,PR,RAMILÂNDIA,RAMILANDIA,Ramilândia,Ramilandia
4121307,PR,RANCHO ALEGRE,RANCHO ALEGRE,Rancho Alegre,Rancho Alegre
4121356,PR,RANCHO ALEGRE D'OESTE,RANCHO ALEGRE D'OESTE,Rancho Alegre d'Oeste,Rancho Alegre d'Oeste
4121406,PR,REALEZA,REALEZA,Realeza,Realeza
4121505,PR,REBOUÇAS,REBOUCAS,Rebouças,Reboucas
4121604,PR,RENASCENÇA,RENASCENCA,Renascença,Renascenca
4121703,PR,RESERVA,RESERVA,Reserva,Reserva
4121752,PR,RESERVA DO IGUAÇU,RESERVA DO IGUACU,Reserva do Iguaçu,Reserva do Iguacu
4121802,PR,RIBEIRÃO CLARO,RIBEIRAO CLARO,Ribeirão Claro,Ribeirao Claro
4121901,PR,RIBEIRÃO DO PINHAL,RIBEIRAO DO PINHAL,Ribeirão do Pinhal,Ribeirao do Pinhal
4122008,PR,RIO AZUL,RIO AZUL,Rio Azul,Rio Azul
4122107,PR,RIO BOM,RIO BOM,Rio Bom,Rio Bom
4122156,PR,RIO BONITO DO IGUAÇU,RIO BONITO DO IGUACU,Rio Bonito do Iguaçu,Rio Bonito do Iguacu
4122172,PR,RIO BRANCO DO IVAÍ,RIO BRANCO DO IVAI,Rio Branco do Ivaí,Rio Branco do Ivai
4122206,PR,RIO BRANCO DO SUL,RIO BRANCO DO SUL,Rio Branco do Sul,Rio Branco do Sul
4122305,PR,RIO NEGRO,RIO NEGRO,Rio Negro,Rio Negro
4122404,PR,ROLÂNDIA,ROLANDIA,Rolândia,Rolandia
4122503,PR,RONCADOR,RONCADOR,Roncador,Roncador
4122602,PR,RONDON,RONDON,Rondon,Rondon
4122651,PR,ROSÁRIO DO IVAÍ,ROSARIO DO IVAI,Rosário do Ivaí,Rosario do Ivai
4122701,PR,SABÁUDIA,SABAUDIA,Sabáudia,Sabaudia
4122800,PR,SALGADO FILHO,SALGADO FILHO,Salgado Filho,Salgado Filho
4122909,PR,SALTO DO ITARARÉ,SALTO DO ITARARE,Salto do Itararé,Salto do Itarare
4123006,PR,SALTO DO LONTRA,SALTO DO LONTRA,Salto do Lontra,Salto do Lontra
4123105,PR,SANTA AMÉLIA,SANTA AMELIA,Santa Amélia,Santa Amelia
4123204,PR,SANTA CECÍLIA DO PAVÃO,SANTA CECILIA DO PAVAO,Santa Cecília do Pavão,Santa Cecilia do Pavao
4123303,PR,SANTA CRUZ DE MONTE CASTELO,SANTA CRUZ DE MONTE CASTELO,Santa Cruz de Monte Castelo,Santa Cruz de Monte Castelo
4123402,PR,SANTA FÉ,SANTA FE,Santa Fé,Santa Fe
4123501,PR,SANTA HELENA,SANTA HELENA,Santa Helena,Santa Helena
4123600,PR,SANTA INÊS,SANTA INES,Santa Inês,Santa Ines
4123709,PR,SANTA ISABEL DO IVAÍ,SANTA ISABEL DO IVAI,Santa Isabel do Ivaí,Santa Isabel do Ivai
4123808,PR,SANTA IZABEL DO OESTE,SANTA IZABEL DO OESTE,Santa Izabel do Oeste,Santa Izabel do Oeste
4123824,PR,SANTA LÚCIA,SANTA LUCIA,Santa Lúcia,Santa Lucia
4123857,PR,SANTA MARIA DO OESTE,SANTA MARIA DO OESTE,Santa Maria do Oeste,Santa Maria do Oeste
4123907,PR,SANTA MARIANA,SANTA MARIANA,Santa Mariana,Santa Mariana
4123956,PR,SANTA MÔNICA,SANTA MONICA,Santa Mônica,Santa Monica
4124004,PR,SANTANA DO ITARARÉ,SANTANA DO ITARARE,Santana do Itararé,Santana do Itarare
4124020,PR,SANTA TEREZA DO OESTE,SANTA TEREZA DO OESTE,Santa Tereza do Oeste,Santa Tereza do Oeste
4124053,PR,SANTA TEREZINHA DE ITAIPU,SANTA TEREZINHA DE ITAIPU,Santa Terezinha de Itaipu,Santa Terezinha de Itaipu
4124103,PR,SANTO ANTÔNIO DA PLATINA,SANTO ANTONIO DA PLATINA,Santo Antônio da Platina,Santo Antonio da Platina
4124202,PR,SANTO ANTÔNIO DO CAIUÁ,SANTO ANTONIO DO CAIUA,Santo Antônio do Caiuá,Santo Antonio do Caiua
4124301,PR,SANTO ANTÔNIO DO PARAÍSO,SANTO ANTONIO DO PARAISO,Santo Antônio do Paraíso,Santo Antonio do Paraiso
4124400,PR,SANTO ANTÔNIO DO SUDOESTE,SANTO ANTONIO DO SUDOESTE,Santo Antônio do Sudoeste,Santo Antonio do Sudoeste
4124509,PR,SANTO INÁCIO,SANTO INACIO,Santo Inácio,Santo Inacio
4124608,PR,SÃO CARLOS DO IVAÍ,SAO CARLOS DO IVAI,São Carlos do Ivaí,Sao Carlos do Ivai
4124707,PR,SÃO JERÔNIMO DA SERRA,SAO JERONIMO DA SERRA,São Jerônimo da Serra,Sao Jeronimo da Serra
4124806,PR,SÃO JOÃO,SAO JOAO,São João,Sao Joao
4124905,PR,SÃO JOÃO DO CAIUÁ,SAO JOAO DO CAIUA,São João do Caiuá,Sao Joao do Caiua
4125001,PR,SÃO JOÃO DO IVAÍ,SAO JOAO DO IVAI,São João do Ivaí,Sao Joao do Ivai
4125100,PR,SÃO JOÃO DO TRIUNFO,SAO JOAO DO TRIUNFO,São João do Triunfo,Sao Joao do Triunfo
4125209,PR,SÃO JORGE D'OESTE,SAO JORGE D'OESTE,São Jorge d'Oeste,Sao Jorge d'Oeste
4125308,PR,SÃO JORGE DO IVAÍ,SAO JORGE DO IVAI,São Jorge do Ivaí,Sao Jorge do Ivai
4125357,PR,SÃO JORGE DO PATROCÍNIO,SAO JORGE DO PATROCINIO,São Jorge do Patrocínio,Sao Jorge do Patrocinio
4125407,PR,SÃO JOSÉ DA BOA VISTA,SAO JOSE DA BOA VISTA,São José da Boa Vista,Sao Jose da Boa Vista
4125456,PR,SÃO JOSÉ DAS PALMEIRAS,SAO JOSE DAS PALMEIRAS,São José das Palmeiras,Sao Jose das Palmeiras
4125506,PR,SÃO JOSÉ DOS PINHAIS,SAO JOSE DOS PINHAIS,São José dos Pinhais,Sao Jose dos Pinhais
4125555,PR,SÃO MANOEL DO PARANÁ,SAO MANOEL DO PARANA,São Manoel do Paraná,Sao Manoel do Parana
4125605,PR,SÃO MATEUS DO SUL,SAO MATEUS DO SUL,São Mateus do Sul,Sao Mateus do Sul
4125704,PR,SÃO MIGUEL DO IGUAÇU,SAO MIGUEL DO IGUACU,São Miguel do Iguaçu,Sao Miguel do Iguacu
4125753,PR,SÃO PEDRO DO IGUAÇU,SAO PEDRO DO IGUACU,São Pedro do Iguaçu,Sao Pedro do Iguacu
4125803,PR,SÃO PEDRO DO IVAÍ,SAO PEDRO DO IVAI,São Pedro do Ivaí,Sao Pedro do Ivai
4125902,PR,SÃO PEDRO DO PARANÁ,SAO PEDRO DO PARANA,São Pedro do Paraná,Sao Pedro do Parana
4126009,PR,SÃO SEBASTIÃO DA AMOREIRA,SAO SEBASTIAO DA AMOREIRA,São Sebastião da Amoreira,Sao Sebastiao da Amoreira
4126108,PR,SÃO TOMÉ,SAO TOME,São Tomé,Sao Tome
4126207,PR,SAPOPEMA,SAPOPEMA,Sapopema,Sapopema
4126256,PR,SARANDI,SARANDI,Sarandi,Sarandi
4126272,PR,SAUDADE DO IGUAÇU,SAUDADE DO IGUACU,Saudade do Iguaçu,Saudade do Iguacu
4126306,PR,SENGÉS,SENGES,Sengés,Senges
4126355,PR,SERRANÓPOLIS DO IGUAÇU,SERRANOPOLIS DO IGUACU,Serranópolis do Iguaçu,Serranopolis do Iguacu
4126405,PR,SERTANEJA,SERTANEJA,Sertaneja,Sertaneja
4126504,PR,SERTANÓPOLIS,SERTANOPOLIS,Sertanópolis,Sertanopolis
4126603,PR,SIQUEIRA CAMPOS,SIQUEIRA CAMPOS,Siqueira Campos,Siqueira Campos
4126652,PR,SULINA,SULINA,Sulina,Sulina
4126678,PR,TAMARANA,TAMARANA,Tamarana,Tamarana
4126702,PR,TAMBOARA,TAMBOARA,Tamboara,Tamboara
4126801,PR,TAPEJARA,TAPEJARA,Tapejara,Tapejara
4126900,PR,TAPIRA,TAPIRA,Tapira,Tapira
4127007,PR,TEIXEIRA SOARES,TEIXEIRA SOARES,Teixeira Soares,Teixeira Soares
4127106,PR,TELÊMACO BORBA,TELEMACO BORBA,Telêmaco Borba,Telemaco Borba
4127205,PR,TERRA BOA,TERRA BOA,Terra Boa,Terra Boa
4127304,PR,TERRA RICA,TERRA RICA,Terra Rica,Terra Rica
4127403,PR,TERRA ROXA,TERRA ROXA,Terra Roxa,Terra Roxa
4127502,PR,TIBAGI,TIBAGI,Tibagi,Tibagi
4127601,PR,TIJUCAS DO SUL,TIJUCAS DO SUL,Tijucas do Sul,Tijucas do Sul
4127700,PR,TOLEDO,TOLEDO,Toledo,Toledo
4127809,PR,TOMAZINA,TOMAZINA,Tomazina,Tomazina
4127858,PR,TRÊS BARRAS DO PARANÁ,TRES BARRAS DO PARANA,Três Barras do Paraná,Tres Barras do Parana
4127882,PR,TUNAS DO PARANÁ,TUNAS DO PARANA,Tunas do Paraná,Tunas do Parana
4127908,PR,TUNEIRAS DO OESTE,TUNEIRAS DO OESTE,Tuneiras do Oeste,Tuneiras do Oeste
4127957,PR,TUPÃSSI,TUPASSI,Tupãssi,Tupassi
4127965,PR,TURVO,TURVO,Turvo,Turvo
4128005,PR,UBIRATÃ,UBIRATA,Ubiratã,Ubirata
4128104,PR,UMUARAMA,UMUARAMA,Umuarama,Umuarama
4128203,PR,UNIÃO DA VITÓRIA,UNIAO DA VITORIA,União da Vitória,Uniao da Vitoria
4128302,PR,UNIFLOR,UNIFLOR,Uniflor,Uniflor
4128401,PR,URAÍ,URAI,Uraí,Urai
4128500,PR,WENCESLAU BRAZ,WENCESLAU BRAZ,Wenceslau Braz,Wenceslau Braz
4128534,PR,VENTANIA,VENTANIA,Ventania,Ventania
4128559,PR,VERA CRUZ DO OESTE,VERA CRUZ DO OESTE,Vera Cruz do Oeste,Vera Cruz do Oeste
4128609,PR,VERÊ,VERE,Verê,Vere
4128625,PR,ALTO PARAÍSO,ALTO PARAISO,Alto Paraíso,Alto Paraiso
4128633,PR,DOUTOR ULYSSES,DOUTOR ULYSSES,Doutor Ulysses,Doutor Ulysses
4128658,PR,VIRMOND,VIRMOND,Virmond,Virmond
4128708,PR,VITORINO,VITORINO,Vitorino,Vitorino
4128807,PR,XAMBRÊ,XAMBRE,Xambrê,Xambre
4200051,SC,ABDON BATISTA,ABDON BATISTA,Abdon Batista,Abdon Batista
4200101,SC,ABELARDO LUZ,ABELARDO LUZ,Abelardo Luz,Abelardo Luz
4200200,SC,AGROLÂNDIA,AGROLANDIA,Agrolândia,Agrolandia
4200309,SC,AGRONÔMICA,AGRONOMICA,Agronômica,Agronomica
4200408,SC,ÁGUA DOCE,AGUA DOCE,Água Doce,Agua Doce
4200507,SC,ÁGUAS DE CHAPECÓ,AGUAS DE CHAPECO,Águas de Chapecó,Aguas de Chapeco
4200556,SC,ÁGUAS FRIAS,AGUAS FRIAS,Águas Frias,Aguas Frias
4200606,SC,ÁGUAS MORNAS,AGUAS MORNAS,Águas Mornas,Aguas Mornas
4200705,SC,ALFREDO WAGNER,ALFREDO WAGNER,Alfredo Wagner,Alfredo Wagner
4200754,SC,ALTO BELA VISTA,ALTO BELA VISTA,Alto Bela Vista,Alto Bela Vista
4200804,SC,ANCHIETA,ANCHIETA,Anchieta,Anchieta
4200903,SC,ANGELINA,ANGELINA,Angelina,Angelina
4201000,SC,ANITA GARIBALDI,ANITA GARIBALDI,Anita Garibaldi,Anita Garibaldi
4201109,SC,ANITÁPOLIS,ANITAPOLIS,Anitápolis,Anitapolis
4201208,SC,ANTÔNIO CARLOS,ANTONIO CARLOS,Antônio Carlos,Antonio Carlos
4201257,SC,APIÚNA,APIUNA,Apiúna,Apiuna
4201273,SC,ARABUTÃ,ARABUTA,Arabutã,Arabuta
4201307,SC,ARAQUARI,ARAQUARI,Araquari,Araquari
4201406,SC,ARARANGUÁ,ARARANGUA,Araranguá,Ararangua
4201505,SC,ARMAZÉM,ARMAZEM,Armazém,Armazem
4201604,SC,ARROIO TRINTA,ARROIO TRINTA,Arroio Trinta,Arroio Trinta
4201653,SC,ARVOREDO,ARVOREDO,Arvoredo,Arvoredo
4201703,SC,ASCURRA,ASCURRA,Ascurra,Ascurra
4201802,SC,ATALANTA,ATALANTA,Atalanta,Atalanta
4201901,SC,AURORA,AURORA,Aurora,Aurora
4201950,SC,BALNEÁRIO ARROIO DO SILVA,BALNEARIO ARROIO DO SILVA,Balneário Arroio do Silva,Balneario Arroio do Silva
4202008,SC,BALNEÁRIO CAMBORIÚ,BALNEARIO CAMBORIU,Balneário Camboriú,Balneario Camboriu
4202057,SC,BALNEÁRIO BARRA DO SUL,BALNEARIO BARRA DO SUL,Balneário Barra do Sul,Balneario Barra do Sul
4202073,SC,BALNEÁRIO GAIVOTA,BALNEARIO GAIVOTA,Balneário Gaivota,Balneario Gaivota
4202081,SC,BANDEIRANTE,BANDEIRANTE,Bandeirante,Bandeirante
4202099,SC,BARRA BONITA,BARRA BONITA,Barra Bonita,Barra Bonita
4202107,SC,BARRA VELHA,BARRA VELHA,Barra Velha,Barra Velha
4202131,SC,BELA VISTA DO TOLDO,BELA VISTA DO TOLDO,Bela Vista do Toldo,Bela Vista do Toldo
4202156,SC,BELMONTE,BELMONTE,Belmonte,Belmonte
4202206,SC,BENEDITO NOVO,BENEDITO NOVO,Benedito Novo,Benedito Novo
4202305,SC,BIGUAÇU,BIGUACU,Biguaçu,Biguacu
4202404,SC,BLUMENAU,BLUMENAU,Blumenau,Blumenau
4202438,SC,BOCAINA DO SUL,BOCAINA DO SUL,Bocaina do Sul,Bocaina do Sul
4202453,SC,BOMBINHAS,BOMBINHAS,Bombinhas,Bombinhas
4202503,SC,BOM JARDIM DA SERRA,BOM JARDIM DA SERRA,Bom Jardim da Serra,Bom Jardim da Serra
4202537,SC,BOM JESUS,BOM JESUS,Bom Jesus,Bom Jesus
4202578,SC,BOM JESUS DO OESTE,BOM JESUS DO OESTE,Bom Jesus do Oeste,Bom Jesus do Oeste
4202602,SC,BOM RETIRO,BOM RETIRO,Bom Retiro,Bom Retiro
4202701,SC,BOTUVERÁ,BOTUVERA,Botuverá,Botuvera
4202800,SC,BRAÇO DO NORTE,BRACO DO NORTE,Braço do Norte,Braco do Norte
4202859,SC,BRAÇO DO TROMBUDO,BRACO DO TROMBUDO,Braço do Trombudo,Braco do Trombudo
4202875,SC,BRUNÓPOLIS,BRUNOPOLIS,Brunópolis,Brunopolis
4202909,SC,BRUSQUE,BRUSQUE,Brusque,Brusque
4203006,SC,CAÇADOR,CACADOR,Caçador,Cacador
4203105,SC,CAIBI,CAIBI,Caibi,Caibi
4203154,SC,CALMON,CALMON,Calmon,Calmon
4203204,SC,CAMBORIÚ,CAMBORIU,Camboriú,Camboriu
4203253,SC,CAPÃO ALTO,CAPAO ALTO,Capão Alto,Capao Alto
4203303,SC,CAMPO ALEGRE,CAMPO ALEGRE,Campo Alegre,Campo Alegre
4203402,SC,CAMPO BELO DO SUL,CAMPO BELO DO SUL,Campo Belo do Sul,Campo Belo do Sul
4203501,SC,CAMPO ERÊ,CAMPO ERE,Campo Erê,Campo Ere
4203600,SC,CAMPOS NOVOS,CAMPOS NOVOS,Campos Novos,Campos Novos
4203709,SC,CANELINHA,CANELINHA,Canelinha,Canelinha
4203808,SC,CANOINHAS,CANOINHAS,Canoinhas,Canoinhas
4203907,SC,CAPINZAL,CAPINZAL,Capinzal,Capinzal
4203956,SC,CAPIVARI DE BAIXO,CAPIVARI DE BAIXO,Capivari de Baixo,Capivari de Baixo
4204004,SC,CATANDUVAS,CATANDUVAS,Catanduvas,Catanduvas
4204103,SC,CAXAMBU DO SUL,CAXAMBU DO SUL,Caxambu do Sul,Caxambu do Sul
4204152,SC,CELSO RAMOS,CELSO RAMOS,Celso Ramos,Celso Ramos
4204178,SC,CERRO NEGRO,CERRO NEGRO,Cerro Negro,Cerro Negro
4204194,SC,CHAPADÃO DO LAGEADO,CHAPADAO DO LAGEADO,Chapadão do Lageado,Chapadao do Lageado
4204202,SC,CHAPECÓ,CHAPECO,Chapecó,Chapeco
4204251,SC,COCAL DO SUL,COCAL DO SUL,Cocal do Sul,Cocal do Sul
4204301,SC,CONCÓRDIA,CONCORDIA,Concórdia,Concordia
4204350,SC,CORDILHEIRA ALTA,CORDILHEIRA ALTA,Cordilheira Alta,Cordilheira Alta
4204400,SC,CORONEL FREITAS,CORONEL FREITAS,Coronel Freitas,Coronel Freitas
4204459,SC,CORONEL MARTINS,CORONEL MARTINS,Coronel Martins,Coronel Martins
4204509,SC,CORUPÁ,CORUPA,Corupá,Corupa
4204558,SC,CORREIA PINTO,CORREIA PINTO,Correia Pinto,Correia Pinto
4204608,SC,CRICIÚMA,CRICIUMA,Criciúma,Criciuma
4204707,SC,CUNHA PORÃ,CUNHA PORA,Cunha Porã,Cunha Pora
4204756,SC,CUNHATAÍ,CUNHATAI,Cunhataí,Cunhatai
4204806,SC,CURITIBANOS,CURITIBANOS,Curitibanos,Curitibanos
4204905,SC,DESCANSO,DESCANSO,Descanso,Descanso
4205001,SC,DIONÍSIO CERQUEIRA,DIONISIO CERQUEIRA,Dionísio Cerqueira,Dionisio Cerqueira
4205100,SC,DONA EMMA,DONA EMMA,Dona Emma,Dona Emma
4205159,SC,DOUTOR PEDRINHO,DOUTOR PEDRINHO,Doutor Pedrinho,Doutor Pedrinho
4205175,SC,ENTRE RIOS,ENTRE RIOS,Entre Rios,Entre Rios
4205191,SC,ERMO,ERMO,Ermo,Ermo
4205209,SC,ERVAL VELHO,ERVAL VELHO,Erval Velho,Erval Velho
4205308,SC,FAXINAL DOS GUEDES,FAXINAL DOS GUEDES,Faxinal dos Guedes,Faxinal dos Guedes
4205357,SC,FLOR DO SERTÃO,FLOR DO SERTAO,Flor do Sertão,Flor do Sertao
4205407,SC,FLORIANÓPOLIS,FLORIANOPOLIS,Florianópolis,Florianopolis
4205431,SC,FORMOSA DO SUL,FORMOSA DO SUL,Formosa do Sul,Formosa do Sul
4205456,SC,FORQUILHINHA,FORQUILHINHA,Forquilhinha,Forquilhinha
4205506,SC,FRAIBURGO,FRAIBURGO,Fraiburgo,Fraiburgo
4205555,SC,FREI ROGÉRIO,FREI ROGERIO,Frei Rogério,Frei Rogerio
4205605,SC,GALVÃO,GALVAO,Galvão,Galvao
4205704,SC,GAROPABA,GAROPABA,Garopaba,Garopaba
4205803,SC,GARUVA,GARUVA,Garuva,Garuva
4205902,SC,GASPAR,GASPAR,Gaspar,Gaspar
4206009,SC,GOVERNADOR CELSO RAMOS,GOVERNADOR CELSO RAMOS,Governador Celso Ramos,Governador Celso Ramos
4206108,SC,GRÃO PARÁ,GRAO PARA,Grão Pará,Grao Para
4206207,SC,GRAVATAL,GRAVATAL,Gravatal,Gravatal
4206306,SC,GUABIRUBA,GUABIRUBA,Guabiruba,Guabiruba
4206405,SC,GUARACIABA,GUARACIABA,Guaraciaba,Guaraciaba
4206504,SC,GUARAMIRIM,GUARAMIRIM,Guaramirim,Guaramirim
4206603,SC,GUARUJÁ DO SUL,GUARUJA DO SUL,Guarujá do Sul,Guaruja do Sul
4206652,SC,GUATAMBÚ,GUATAMBU,Guatambú,Guatambu
